sku,day,demand,order_cost,holding_cost,unit_cost
A101,1,23,250,0.08,35
A101,2,28,200,0.1,25
A101,3,25,100,0.15,25
A101,4,21,150,0.08,20
A101,5,27,150,0.15,30
A101,6,26,100,0.08,30
A101,7,26,200,0.1,30
A101,8,23,250,0.15,25
A101,9,26,100,0.12,35
A101,10,25,200,0.12,35
A101,11,24,100,0.15,20
A101,12,25,150,0.08,20
A101,13,27,200,0.15,30
A101,14,22,100,0.15,25
A101,15,24,250,0.15,20
A101,16,28,150,0.1,20
A101,17,23,150,0.1,30
A101,18,26,150,0.1,30
A101,19,29,250,0.1,30
A101,20,26,100,0.1,35
A101,21,18,100,0.15,20
A101,22,22,100,0.15,30
A101,23,20,200,0.08,15
A101,24,26,100,0.12,15
A101,25,22,250,0.12,25
A101,26,29,200,0.08,25
A101,27,28,150,0.12,20
A101,28,32,100,0.15,15
A101,29,18,250,0.12,35
A101,30,31,200,0.15,25
A102,1,17,150,0.12,15
A102,2,21,100,0.1,25
A102,3,10,150,0.15,35
A102,4,25,200,0.12,15
A102,5,22,150,0.08,35
A102,6,13,200,0.12,35
A102,7,18,150,0.1,35
A102,8,19,150,0.08,35
A102,9,23,250,0.15,25
A102,10,23,250,0.1,30
A102,11,25,100,0.08,25
A102,12,20,150,0.08,30
A102,13,16,150,0.15,25
A102,14,17,100,0.1,35
A102,15,17,250,0.12,25
A102,16,26,150,0.15,15
A102,17,19,150,0.15,30
A102,18,21,150,0.12,20
A102,19,18,250,0.08,25
A102,20,24,100,0.1,20
A102,21,20,250,0.08,15
A102,22,21,200,0.1,20
A102,23,11,150,0.15,30
A102,24,28,200,0.12,25
A102,25,25,100,0.15,20
A102,26,19,150,0.1,25
A102,27,24,100,0.15,25
A102,28,24,150,0.15,35
A102,29,20,250,0.12,20
A102,30,25,200,0.12,25
B205,1,30,100,0.15,20
B205,2,42,250,0.08,25
B205,3,32,200,0.12,20
B205,4,36,200,0.12,30
B205,5,25,100,0.15,30
B205,6,39,100,0.08,25
B205,7,34,200,0.15,25
B205,8,32,250,0.15,15
B205,9,33,250,0.15,30
B205,10,40,150,0.12,15
B205,11,40,150,0.12,35
B205,12,29,100,0.15,15
B205,13,38,250,0.15,25
B205,14,36,100,0.15,15
B205,15,43,150,0.12,35
B205,16,62,200,0.1,25
B205,17,23,100,0.15,15
B205,18,32,100,0.15,35
B205,19,60,250,0.08,15
B205,20,38,250,0.15,35
B205,21,43,250,0.08,35
B205,22,36,250,0.08,15
B205,23,55,250,0.08,30
B205,24,51,200,0.08,35
B205,25,34,200,0.15,20
B205,26,32,100,0.1,20
B205,27,43,200,0.1,25
B205,28,30,150,0.1,20
B205,29,45,200,0.1,35
B205,30,47,150,0.12,20
B207,1,24,250,0.1,15
B207,2,15,250,0.08,30
B207,3,27,250,0.1,30
B207,4,26,200,0.12,30
B207,5,15,200,0.1,25
B207,6,30,100,0.1,35
B207,7,22,100,0.15,20
B207,8,22,150,0.12,25
B207,9,22,100,0.15,30
B207,10,17,250,0.08,30
B207,11,20,150,0.12,25
B207,12,23,200,0.15,30
B207,13,16,150,0.12,20
B207,14,13,100,0.1,35
B207,15,21,250,0.08,15
B207,16,18,150,0.1,15
B207,17,15,150,0.15,15
B207,18,20,250,0.08,35
B207,19,23,250,0.12,35
B207,20,31,150,0.08,25
B207,21,18,100,0.1,15
B207,22,16,100,0.1,30
B207,23,23,250,0.15,20
B207,24,25,150,0.15,35
B207,25,16,150,0.08,20
B207,26,21,150,0.1,35
B207,27,20,150,0.1,25
B207,28,24,150,0.15,15
B207,29,30,250,0.15,20
B207,30,23,100,0.15,25
C330,1,8,250,0.08,15
C330,2,16,100,0.12,25
C330,3,12,100,0.15,20
C330,4,14,200,0.15,35
C330,5,11,250,0.08,20
C330,6,13,150,0.1,20
C330,7,12,150,0.08,20
C330,8,8,100,0.12,35
C330,9,12,100,0.08,30
C330,10,11,150,0.08,15
C330,11,17,200,0.15,30
C330,12,17,150,0.08,35
C330,13,14,200,0.08,25
C330,14,10,100,0.1,15
C330,15,12,100,0.1,35
C330,16,21,200,0.12,15
C330,17,11,250,0.1,30
C330,18,15,200,0.1,35
C330,19,13,250,0.12,35
C330,20,10,250,0.08,15
C330,21,17,200,0.15,15
C330,22,14,150,0.1,30
C330,23,13,150,0.08,20
C330,24,13,100,0.1,25
C330,25,11,100,0.1,25
C330,26,13,250,0.15,35
C330,27,16,200,0.12,15
C330,28,11,100,0.15,30
C330,29,11,100,0.15,25
C330,30,12,150,0.1,25
C335,1,10,150,0.15,20
C335,2,14,250,0.15,35
C335,3,17,200,0.08,30
C335,4,18,150,0.08,30
